KAB. ACEH BARAT,4.45,96.15
KAB. ACEH BARAT DAYA,3.80,97.01
KAB. ACEH BESAR,5.45,95.48
KAB. ACEH JAYA,4.79,95.65
KAB. ACEH SELATAN,3.31,97.35
KAB. ACEH SINGKIL,2.36,97.87
KAB. ACEH TAMIANG,4.23,98.00
KAB. ACEH TENGAH,4.45,96.84
KAB. ACEH TENGGARA,3.31,97.70
KAB. ACEH TIMUR,4.52,97.61
KAB. ACEH UTARA,4.98,97.22
KAB. BENER MERIAH,4.75,96.95
KAB. BIREUEN,5.11,96.66
KAB. GAYO LUES,3.96,97.35
KAB. NAGAN RAYA,4.12,96.49
KAB. PIDIE,5.07,95.94
KAB. PIDIE JAYA,5.15,96.20
KAB. SIMEULUE,2.64,96.03
KOTA BANDA ACEH,5.55,95.32
KOTA LANGSA,4.47,97.98
KOTA LHOKSEUMAWE,5.18,97.14
KOTA SABANG,5.89,95.32
KOTA SUBULUSSALAM,2.71,97.92
KAB. ASAHAN,2.82,99.63
KAB. BATUBARA,3.17,99.50
KAB. DAIRI,2.87,98.27
KAB. DELI SERDANG,3.42,98.70
KAB. HUMBANG HASUNDUTAN,2.20,98.57
KAB. KARO,3.11,98.27
KAB. LABUHANBATU,2.34,100.17
KAB. LABUHANBATU SELATAN,1.88,100.17
KAB. LABUHANBATU UTARA,2.35,99.81
KAB. LANGKAT,3.87,98.31
KAB. MANDAILING NATAL,0.74,99.37
KAB. NIAS,1.09,97.74
KAB. NIAS BARAT,1.01,97.48
KAB. NIAS SELATAN,0.71,97.83
KAB. NIAS UTARA,1.32,97.39
KAB. PADANG LAWAS,1.12,99.81
KAB. PADANG LAWAS UTARA,1.58,99.63
KAB. PAKPAK BHARAT,2.51,98.22
KAB. SAMOSIR,2.63,98.79
KAB. SERDANG BEDAGAI,3.34,99.06
KAB. SIMALUNGUN,2.98,99.28
KAB. TAPANULI SELATAN,1.58,99.28
KAB. TAPANULI TENGAH,1.85,98.70
KAB. TAPANULI UTARA,2.04,99.10
KAB. TOBA SAMOSIR,2.35,99.28
KOTA BINJAI,3.61,98.50
KOTA GUNUNGSITOLI,1.28,97.61
KOTA MEDAN,3.60,98.67
KOTA PADANGSIDEMPUAN,1.37,99.27
KOTA PEMATANGSIANTAR,2.97,99.07
KOTA SIBOLGA,1.74,98.79
KOTA TANJUNGBALAI,2.97,99.80
KOTA TEBING TINGGI,3.33,99.16
KAB. AGAM,-0.22,100.17
KAB. DHARMASRAYA,-1.11,101.62
KAB. KEPULAUAN MENTAWAI,-1.43,98.92
KAB. LIMA PULUH KOTA,0.07,100.53
KAB. PADANG PARIAMAN,-0.55,100.22
KAB. PASAMAN,0.22,100.17
KAB. PASAMAN BARAT,0.22,99.63
KAB. PESISIR SELATAN,-1.72,100.89
KAB. SIJUNJUNG,-0.66,101.07
KAB. SOLOK,-0.96,100.89
KAB. SOLOK SELATAN,-1.42,101.25
KAB. TANAH DATAR,-0.48,100.57
KOTA BUKITTINGGI,-0.30,100.38
KOTA PADANG,-0.95,100.42
KOTA PADANGPANJANG,-0.47,100.40
KOTA PARIAMAN,-0.63,100.12
KOTA PAYAKUMBUH,-0.23,100.63
KOTA SAWAHLUNTO,-0.68,100.73
KOTA SOLOK,-0.79,100.66
KAB. BENGKALIS,1.41,101.62
KAB. INDRAGIRI HILIR,-0.15,102.99
KAB. INDRAGIRI HULU,-0.74,102.25
KAB. KAMPAR,0.15,101.16
KAB. KEPULAUAN MERANTI,0.92,102.67
KAB. KUANTAN SINGINGI,-0.44,101.52
KAB. PELALAWAN,0.15,102.25
KAB. ROKAN HILIR,1.65,100.80
KAB. ROKAN HULU,1.04,100.44
KAB. SIAK,0.81,101.80
KOTA DUMAI,1.67,101.40
KOTA PEKANBARU,0.51,101.45
KAB. BINTAN,1.06,104.52
KAB. KARIMUN,0.77,103.40
KAB. KEPULAUAN ANAMBAS,3.11,105.65
KAB. LINGGA,-0.47,104.43
KAB. NATUNA,4.00,108.25
KOTA BATAM,1.13,104.05
KOTA TANJUNG PINANG,0.92,104.47
PULAU TAMBELAN KAB. BINTAN,1.12,107.33
PEKAJANG KAB. LINGGA,-0.08,104.63
PULAU SERASAN KAB. NATUNA,2.52,109.05
PULAU MIDAI KAB. NATUNA,3.00,107.78
PULAU LAUT KAB. NATUNA,4.71,107.97
KAB. BATANGHARI,-1.71,103.08
KAB. BUNGO,-1.64,101.89
KAB. KERINCI,-1.87,101.43
KAB. MERANGIN,-2.18,101.98
KAB. MUARO JAMBI,-1.55,103.82
KAB. SAROLANGUN,-2.32,102.71
KAB. TANJUNG JABUNG BARAT,-1.11,103.08
KAB. TANJUNG JABUNG TIMUR,-1.10,103.82
KAB. TEBO,-1.26,102.35
KOTA JAMBI,-1.61,103.61
KOTA SUNGAI PENUH,-2.06,101.39
KAB. BENGKULU SELATAN,-4.32,103.04
KAB. BENGKULU TENGAH,-3.70,102.39
KAB. BENGKULU UTARA,-3.27,101.98
KAB. KAUR,-4.52,103.27
KAB. KEPAHIANG,-3.61,102.67
KAB. LEBONG,-3.15,102.21
KAB. MUKOMUKO,-2.64,101.43
KAB. REJANG LEBONG,-3.45,102.67
KAB. SELUMA,-4.05,102.71
KOTA BENGKULU,-3.79,102.26
KAB. BANYUASIN,-2.61,104.75
KAB. EMPAT LAWANG,-3.73,102.90
KAB. LAHAT,-3.80,103.36
KAB. MUARA ENIM,-3.71,104.01
KAB. MUSI BANYUASIN,-2.54,103.73
KAB. MUSI RAWAS,-3.10,103.08
KAB. MUSI RAWAS UTARA,-2.79,102.71
KAB. OGAN ILIR,-3.43,104.61
KAB. OGAN KOMERING ILIR,-3.46,105.22
KAB. OGAN KOMERING ULU,-4.03,104.01
KAB. OGAN KOMERING ULU SELATAN,-4.67,104.01
KAB. TULUNGAGUNG,-8.09,111.96
KAB. OGAN KOMERING ULU TIMUR,-3.86,104.75
KAB. PENUKAL ABAB LEMATANG ILIR,-3.24,104.01
KOTA LUBUKLINGGAU,-3.30,102.86
KOTA PAGAR ALAM,-4.04,103.23
KOTA PALEMBANG,-2.98,104.78
KOTA PRABUMULIH,-3.42,104.24
KAB. BANGKA,-1.87,105.92
KAB. BANGKA BARAT,-1.84,105.50
KAB. BANGKA SELATAN,-2.74,106.44
KAB. BANGKA TENGAH,-2.40,106.21
